Model,Type,R2,RMSE,MAE,MAPE,Training_Time_sec,hp_max_depth,hp_min_samples_split,hp_min_samples_leaf,hp_random_state,hp_n_estimators,hp_max_features,hp_n_jobs,hp_hidden_layer_sizes,hp_activation,hp_solver,hp_learning_rate_init,hp_max_iter,hp_early_stopping,hp_alpha,hp_num_leaves,hp_learning_rate,hp_feature_fraction,hp_bagging_fraction,hp_bagging_freq,hp_reg_alpha,hp_reg_lambda,hp_min_child_samples,hp_verbose,hp_hidden_dim,hp_num_layers,hp_dropout,hp_bidirectional,hp_epochs,hp_lr,hp_weight_decay,hp_patience,hp_sequence_length,hp_batch_size,hp_hidden_dims,hp_n_blocks,hp_d_token,hp_n_heads,hp_d_ffn_factor,hp_attention_dropout,hp_ffn_dropout,hp_residual_dropout,Parameters_M,hp_n_d,hp_n_a,hp_n_steps,hp_gamma,hp_lambda_sparse,hp_n_independent,hp_n_shared,hp_max_epochs,hp_virtual_batch_size
FT-T_Best,FT-Transformer,0.9747088754261456,0.9601322137226043,0.7749487704918031,1.3043313628491724,77.76710605621338,,,,,,,,,,,,,,,,0.0005,,,,,,,,,,,,400,,1e-05,60,,,,6,256,8,2.0,0.1,0.1,0.0,3.958785,,,,,,,,,
MLP_PyTorch,PyTorch,0.948167641872797,1.3745085780628403,0.9494067288115097,1.5773606707854104,7.886368989944458,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,100,0.001,0.0001,15,,32,"[32, 16]",,,,,,,,,,,,,,,,,
MLP_sklearn,Traditional,0.9406191269068771,1.471195067457292,1.123594612664623,1.8397855156178373,1.8232853412628174,,,,42,,,,"(100, 50)",relu,adam,0.001,1000,True,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT-T_Small,FT-Transformer,0.9383782872100633,1.4986970534626636,1.2009623829039813,1.9733171989078109,2.3225436210632324,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,200,,1e-05,30,,,,2,64,4,2.0,0.0,0.1,0.0,0.085249,,,,,,,,,
FT-T_Medium,FT-Transformer,0.920060028950995,1.7069820884746398,1.2924802400468385,2.126338282761421,7.9126105308532715,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,300,,1e-05,50,,,,4,128,8,2.0,0.1,0.1,0.0,0.665345,,,,,,,,,
RandomForest,Traditional,0.8296828569738364,2.491587551892535,1.6405443723898647,2.7534033824784028,0.30331945419311523,20,2,1,42,300,sqrt,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TabNet_Small,TabNet,0.8055115841508155,2.662525894293898,1.9394357239055409,3.299285108451891,92.38899254798889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,10,,16,,,,,,,,,,8,8,3,1.0,0.01,1,1,50,8
DecisionTree,Traditional,0.768370750785812,2.9056524774103654,1.987582286665331,3.2708817748914933,0.03266644477844238,15,5,2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinearRegression,Traditional,0.6449646866011214,3.597350436602156,2.337765273653543,3.6871193899708006,0.0019981861114501953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiLSTM,PyTorch,-0.03214794109709773,6.141568900244605,4.209755274544616,6.738506450341246,9.274843215942383,,,,,,,,,,,,,,,,,,,,,,,,64,2,0.3,True,100,0.001,1e-05,25,10,64,,,,,,,,,,,,,,,,,,
LSTM,PyTorch,-0.20204316797353594,6.627784595809024,4.612432482554298,7.300347036577581,12.178535461425781,,,,,,,,,,,,,,,,,,,,,,,,128,2,0.2,True,150,0.001,1e-05,30,10,64,,,,,,,,,,,,,,,,,,
LightGBM,Traditional,-1.4381190856860906,9.427019985672388,3.0496187573269737,4.712331489021259,0.12316346168518066,8,,,42,300,,-1,,,,,,,,63,0.05,0.8,0.8,5,0.01,0.1,5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
