Model,Type,R2,RMSE,MAE,MAPE,Training_Time_sec,hp_max_depth,hp_min_samples_split,hp_min_samples_leaf,hp_random_state,hp_n_estimators,hp_max_features,hp_n_jobs,hp_hidden_layer_sizes,hp_activation,hp_solver,hp_learning_rate,hp_learning_rate_init,hp_max_iter,hp_early_stopping,hp_validation_fraction,hp_alpha,hp_num_leaves,hp_feature_fraction,hp_bagging_fraction,hp_bagging_freq,hp_reg_alpha,hp_reg_lambda,hp_min_child_samples,hp_verbose,hp_hidden_dim,hp_num_layers,hp_dropout,hp_bidirectional,hp_epochs,hp_lr,hp_weight_decay,hp_patience,hp_sequence_length,hp_batch_size,hp_hidden_dims,hp_model_version,hp_n_blocks,hp_d_token,hp_n_heads,hp_d_ffn_factor,hp_attention_dropout,hp_ffn_dropout,hp_residual_dropout,Parameters_M,hp_n_d,hp_n_a,hp_n_steps,hp_gamma,hp_lambda_sparse,hp_n_independent,hp_n_shared,hp_max_epochs,hp_virtual_batch_size
TabPFN,TabPFN,0.9955276600832171,0.020891744539672776,0.0042429688020255325,0.6033473984366666,0.327925443649292,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v2,,,,,,,,,,,,,,,,,
FT-T_SmallDeep,FT-Transformer,0.9939394048164395,0.02432007683753965,0.016689321207322593,2.2338092821378153,2.0664710998535156,,,,,,,,,,,0.0005,,,,,,,,,,,,,,,,,,300,,1e-05,15,,,,,4,64,4,1.0,0.15,0.1,0.0,0.119937,,,,,,,,,
FT-T_Medium,FT-Transformer,0.9840362296306288,0.03947071927131851,0.02156949145410042,2.903024615787324,1.8951659202575684,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,320,,1e-05,20,,,,,3,96,4,1.3333333333333333,0.2,0.1,0.0,0.228193,,,,,,,,,
FT-T_Small,FT-Transformer,0.9824437732497013,0.041392617974333905,0.023510776782348548,3.2986117448949823,0.9908182621002197,,,,,,,,,,,0.0005,,,,,,,,,,,,,,,,,,200,,1e-05,15,,,,,2,64,4,1.0,0.1,0.1,0.0,0.061185,,,,,,,,,
FT-T_MediumWide,FT-Transformer,0.982346353862616,0.04150730278094157,0.02885442915426053,3.7477355248645607,0.923619270324707,,,,,,,,,,,0.0008,,,,,,,,,,,,,,,,,,320,,1e-05,20,,,,,3,128,4,1.3333333333333333,0.2,0.1,0.0,0.401789,,,,,,,,,
FT-T_Best,FT-Transformer,0.9578378621467689,0.06414585769923292,0.023581752432274353,3.5156729978361523,3.4982388019561768,,,,,,,,,,,0.0005,,,,,,,,,,,,,,,,,,350,,1e-05,25,,,,,4,128,4,1.3333333333333333,0.2,0.1,0.0,0.534097,,,,,,,,,
MLP_sklearn,Traditional,0.9349453030670933,0.07967950612330858,0.05753248016004763,6.74970339728167,2.149965763092041,,,,42,,,,"(100, 50)",relu,adam,constant,0.001,500,True,0.1,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TabNet_Large,TabNet,0.8926236937052695,0.102367367424857,0.06703898333314161,10.141686510718161,22.33915615081787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,30,,256,,,,,,,,,,,64,64,7,1.5,1e-05,3,3,250,128
MLP_PyTorch,PyTorch,0.868031695027818,0.11348595687593888,0.0808055922459782,9.95879480376367,1.0180039405822754,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,100,0.001,1e-05,15,,256,"[128, 64, 32]",,,,,,,,,,,,,,,,,,
LightGBM,Traditional,0.8448689953916637,0.1230429137538716,0.04825368756250335,6.1117022120600115,0.16274428367614746,10,,,42,300,,-1,,,,0.05,,,,,,63,0.8,0.8,5,0.1,1.0,20,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TabNet_Small,TabNet,0.820557789476831,0.1323334423630183,0.08180651419047609,13.018795269599734,5.402836322784424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,20,,256,,,,,,,,,,,16,16,4,1.2,0.0001,2,2,150,128
RandomForest,Traditional,0.7958284220429123,0.14115782148341158,0.10029620200118021,13.789804234804675,0.12699031829833984,20,10,5,42,200,sqrt,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecisionTree,Traditional,0.7199315832875239,0.16532532025939856,0.09108978279083225,11.833316609591957,0.004507780075073242,8,30,15,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinearRegression,Traditional,0.5006942937684808,0.22074484440324194,0.16927450934457206,21.301795219507287,0.0010004043579101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiLSTM,PyTorch,0.444514408993651,0.23756256985201332,0.18369119169405695,27.42181265590638,1.1609063148498535,,,,,,,,,,,,,,,,,,,,,,,,,32,1,0.4,True,60,0.0003,0.01,8,24,128,,,,,,,,,,,,,,,,,,,
LSTM,PyTorch,0.37096794096702523,0.25280054487595854,0.19396707970636293,28.370770947023544,0.7288289070129395,,,,,,,,,,,,,,,,,,,,,,,,,128,2,0.2,False,100,0.001,1e-05,15,24,256,,,,,,,,,,,,,,,,,,,
